# thingid,z,specz_ra,specz_dec,logms_pca_bc03
1237678597006688598,0.26799,337.0870700000001,2.041513,11.794802375719886
85432550,0.18429,136.3679199,-0.5747720000000001,11.439905873199999
41451925,0.20599,33.610786,-5.872878,11.534422517579515
108280405,0.19608,132.6424561,0.445808,11.546215873199998
89896570,0.16238,139.3572083,-0.35557,11.180545873199996
125175898,0.14081,139.6719971,1.462342,11.275195873199998
98608070,0.11545,181.7090912,0.056092,11.030735873199998
41235486,0.29738000000000003,32.851158,-5.841469,11.732102404814215
47628323,0.27071,32.994941,-4.6239940000000015,11.647433489968536
1237678595933929711,0.07215,339.3470200000001,1.36212,10.813265685224907
1237658423544971512,0.2278,139.65328,5.1825,11.523858204338467
98603245,0.20398,182.3661652,0.023612,11.754055873199999
45638082,0.14925,36.785813,-5.074324,10.750272496894468
1237673701817122892,0.18397,38.729596,-5.953579,11.346916929993313
1237660024493965679,0.3302,337.67058,-1.117523,11.774690316524355
52019602,0.18833,37.725606,-3.519092,11.41945607654634
106734971,0.14953,332.8052600000001,0.525043,10.988245873199999
1237678879960268961,0.17743,30.558167,-2.678071,11.687239925900938
1237678596470866067,0.19244,339.39209,1.7352189999999998,11.630946906574536
113922638,0.12822,218.4370422,0.794932,11.833165873199999
1237678597540872582,0.20999,330.93361,2.346813,11.428568502829876
1237661388149883488,0.44927,238.16533,44.362834,11.71582334570121
80098634,0.29257,138.4685364,-0.8423290000000001,11.815405873199998
1237655347820429543,0.13693,243.53632,44.277731,11.343910269381011
107426574,0.13666,219.1148987,0.617399,11.5402658732
124818162,0.10128,217.2692108,1.338201,10.934825873199998
64512275,0.26691,214.5184326,-1.549549,11.563375873199996
49272874,0.20996,37.122084,-4.14657,11.50864106003428
38339122,0.23655,33.607401,-6.461172,12.023470945874578
134644940,0.10699000000000004,133.3192444,2.627822,11.244875873199996
45213196,0.19601,34.801869,-5.083825,11.673170450550973
124863682,0.13375,131.5783997,1.373659,11.219915873199996
49868448,0.21654,30.558567,-3.988626,11.492257387246356
126119447,0.09538,179.29179380000005,1.495219,11.0686058732
66311863,0.05541,216.8988342,-1.372611,10.323815873200001
1237678619555660070,0.16464,337.92941,2.653602,11.360798740410244
62194900,0.12673,179.77923,-2.051708,10.985295873199997
113866033,0.174,214.2173157,0.765072,11.575215873199998
135289926,0.22984,137.60110469999998,2.635231,11.660975873199996
1237674462026793210,0.08308,141.34741,4.509043,11.169424205552788
