# thingid,tf_morpho,RA,Dec,logms_pca_bc03,z
64856814,stream,217.096283,-1.53664,10.397945873199998,0.0563
64917374,stream,217.6144714,-1.577402,10.434505873200001,0.07681
64971129,stream,217.8560944,-1.47254,10.539395873199998,0.09156
65019931,stream,218.1162415,-1.5521,9.908642873199998,0.05679
65177338,stream,218.8714142,-1.4857790000000002,11.233375873199996,0.1794
65215906,stream,180.8058929,-1.518609,11.070385873199998,0.08204
65261008,stream,219.2237396,-1.528356,11.212124530575236,0.12137
65297094,stream,178.8630676,-1.603049,11.353155873199999,0.15008
65308841,shell,178.4807739,-1.466661,11.109035873199996,0.07693
65358913,stream,219.6485138,-1.486542,11.206545873199996,0.13624
65364640,stream,177.3189545,-1.536409,10.294435873199998,0.08245
65451335,stream,220.0659027,-1.508748,10.904135873199998,0.1145
65734072,stream,214.71891780000004,-1.5196889999999998,11.4497058732,0.1873
65734129,stream,214.6600037,-1.475702,11.237865873199999,0.10249
65734134,stream,214.6585846,-1.499108,9.694046873199998,0.05474
66261944,stream,216.56604,-1.3000120000000002,11.0252958732,0.09979
66311863,shell,216.8988342,-1.372611,10.323815873200001,0.05541
66535653,stream,218.4831238,-1.32285,11.501465873199999,0.16899
66604789,shell,218.8196716,-1.387728,11.499085873199999,0.13092
66658971,shell,181.9253235,-1.388821,11.388655873199998,0.15568
66659007,stream,182.0047607,-1.298092,11.5800058732,0.18073
66691941,stream,180.9373322,-1.380409,11.271105873199996,0.08229
66706443,stream,180.4123077,-1.291931,11.330175873199996,0.17891
66706939,stream,180.5437317,-1.385052,10.882485873199997,0.099
66734977,shell,179.7591858,-1.313052,11.4085558732,0.08121
66759519,stream,178.90049,-1.4013790000000002,10.828395873199996,0.07606
66759555,stream,179.0449524,-1.266798,11.153085873199997,0.12716
66814891,stream,177.6383362,-1.354538,11.3975258732,0.16025
66824617,stream,219.6150055,-1.292652,10.410695873199998,0.12269
66876235,shell,220.0042572,-1.301408,11.054285873199998,0.11525
66899235,stream,220.1219025,-1.325148,11.416665873199998,0.13764
66914642,stream,213.6785889,-1.310352,10.136509873199998,0.10352
66928690,shell,220.2304077,-1.410082,11.570035873199997,0.10675
67291907,stream,214.1663666,-1.262564,11.777583754330408,0.29973
67307240,stream,214.3160248,-1.28295,11.123325873199999,0.13774
67320934,stream,214.462204,-1.250252,10.680215873199998,0.12105
67475901,stream,216.3190613,-1.131261,10.3248158732,0.08452
68550958,stream,213.0365906,-1.14478,11.304005873199998,0.1818
68608669,shell,213.8015442,-1.12855,11.380325873199999,0.07683999999999999
68642447,stream,217.9098816,-1.246792,11.308896383561661,0.1945
68833689,stream,215.9957886,-1.075112,11.545105873199999,0.17695999999999998
68857298,stream,216.28089900000003,-1.04698,11.135845395154321,0.10376
69175415,stream,218.4056396,-1.085811,10.762005873199996,0.0813
69270731,shell,219.2404175,-1.066781,10.732725873199998,0.07224
69294076,stream,219.243576,-1.058518,10.373625873199998,0.07213
69294116,stream,219.24907,-1.066031,11.591658113175075,0.29363
69738885,stream,181.6672211,-1.123358,11.069775873199998,0.08237
69742719,stream,181.1889648,-1.074042,11.5209358732,0.1776
69754833,stream,179.67073059999996,-1.06674,11.844605873199999,0.13116
69755845,stream,179.5415955,-1.076368,11.454005873199996,0.12120999999999996
69759014,stream,179.144104,-1.075364,9.7325298732,0.08585
69768484,stream,178.15858459999995,-1.224292,11.502105873199996,0.28483
69770936,stream,177.6966553,-1.103611,11.494215873199996,0.16955
70147594,stream,332.92477,-1.050422,10.697855873199998,0.18272
70156507,stream,333.85739,-1.258927,11.689895873199998,0.263
70161480,shell,334.4140700000001,-1.118,11.204745873199997,0.09833
70167117,stream,335.28603,-1.097379,11.237015873199999,0.09984
70168283,stream,335.48203,-1.05535,10.966325873199999,0.10725
70169061,stream,335.50456,-1.167889,11.7803658732,0.10044
70520682,shell,218.0134277,-1.167687,10.545365873199998,0.05473
70892924,stream,214.1989746,-1.070569,11.350545873199996,0.12507
70912185,stream,218.83992,-1.027409,11.555145873199999,0.25716
72121009,stream,177.2065125,-0.994621,11.460705873199997,0.15914
72479400,stream,213.8195038,-0.99219,10.6594158732,0.0808
72479482,shell,213.9203949,-0.8606719999999999,11.049945873199999,0.13856
72479483,stream,213.9186707,-0.8626389999999999,11.321455873199996,0.13932999999999998
72479774,shell,213.9442444,-0.991778,11.905745873199999,0.14923
72479933,shell,213.8397064,-1.002011,11.477055873199998,0.14889000000000002
74277699,stream,177.8348541,-0.974118,11.475225873199998,0.1062
74287148,stream,177.89011000000005,-1.016351,11.46279349119868,0.3443
74355953,stream,179.5549469,-1.046842,11.372205873199999,0.12092
74522792,stream,181.2010651,-0.962912,10.933735873199996,0.08234
74536792,stream,181.4705811,-0.91079,10.2381858732,0.08362
74597002,stream,181.9792938,-1.00074,11.011395873199996,0.11167
74622502,stream,182.2537384,-1.00132,-9998.840814126801,0.36076
74979360,stream,138.8115082,-0.849311,10.578535873199998,0.10307
75338336,stream,334.90006,-1.001235,10.3769858732,0.05682
75344597,stream,334.1683,-0.965893,10.086912873200001,0.07681
75344598,stream,334.1681200000001,-0.96763,10.6493258732,0.07733999999999999
75345536,stream,334.30594,-0.976814,11.2271058732,0.15103
75351283,stream,333.54459,-0.935348,10.861085873199999,0.22189
75359475,stream,332.98732,-1.035758,10.8885658732,0.09276
75994283,stream,214.99922180000004,-0.990452,11.211595873199999,0.08396
75998051,stream,215.8444519,-0.931979,9.965363873199998,0.05456
76007299,shell,216.2546082,-1.0360200000000002,11.396625873199996,0.17192000000000002
76036364,stream,217.5584259,-0.8428559999999999,11.253506364460918,0.10425
76054926,stream,219.763443,-0.984062,11.325365873199999,0.14454
78258713,stream,213.2263641,-0.758288,10.976705873199997,0.11881
78305488,stream,213.8186951,-0.66128,11.344915873199996,0.13697
78316059,shell,213.8872528,-0.747728,11.484505873199996,0.12548
78512551,shell,215.944519,-0.6641090000000001,11.078065873199996,0.05256
78538948,stream,216.1106567,-0.684689,11.415015873199996,0.17545
78539192,stream,216.223999,-0.692959,11.1934658732,0.13660999999999998
