# thingid,z,specz_ra,specz_dec,logms_pca_bc03
40216897,0.05122,36.289192,-6.073777,10.474852483021095
1237679254135439502,0.14171,36.3523521,-4.3524980000000015,11.48970404479769
1237648720673702335,0.23683,133.93836000000002,-0.560212,11.400817317524345
95198050,0.16376,219.9281464,-0.059059,11.247305873199997
86603890,0.1892,134.5888977,-0.549618,11.347295873199997
1237651735776723792,0.43978,225.19118,1.442987,11.541924254386684
1237655349431828933,0.264,246.50845,43.704142,11.610671923932388
1237679254669361445,0.28291,29.555371,-4.257786,11.916340309078805
65019931,0.05679,218.1162415,-1.5521,9.908642873199998
1237648705126859079,0.26135,212.82667540000003,0.565513,11.704491299227813
1237678889599173391,0.3261,36.198868,-2.072428,11.4209041428403
85692744,0.15552,130.7922668,-0.429082,11.221875873199997
93391560,0.2131,333.64301,-0.129807,10.831125873199998
44436572,0.33027,35.819113,-5.208317,11.800644546747208
1237655692476350844,0.43277,220.38576,-2.000357,11.101210488617651
98949838,0.05346,134.4979858,0.171198,10.090095873200001
65734072,0.1873,214.71891780000004,-1.5196889999999998,11.4497058732
1237648722320359598,0.14332,216.2274475,0.7340369999999999,9.269561796434571
116487899,0.14428,218.0468597,0.902672,10.961395873199999
107525107,0.28223000000000004,220.0049438,0.508729,11.622509213455489
93799552,0.20262,180.6474457,-0.113488,11.466085873199999
1237678598081282281,0.36323,339.0105200000001,2.953011,11.521048215421615
1237648720155967643,0.30865,177.5898743,-1.016701,11.560492794611493
1237650794606231985,0.29602,138.99157,-1.060117,11.897755762969608
106690896,0.053,213.06635,0.522505,8.060000229626894
1237678598081020121,0.19032,338.40352,3.025298,11.6896797457739
108263840,0.28003,130.9902496,0.617309,11.866155873199999
63188702,0.05492,216.29218,-1.803703,10.078651873199998
1237678596471718150,0.05914,341.4061200000001,1.836608,10.563369447365405
45523517,0.08565,36.18496500000001,-5.0818970000000006,11.023206059864604
1237678598077743370,0.17459000000000002,330.85027,2.827671,11.517701936361844
54341326,0.27894,33.458229,-3.084697,11.609190027083967
1237673700206837967,0.18179,40.196691,-6.3162629999999975,11.510080912325066
1237674602142433526,0.11451,212.41349790000004,-0.888922,11.607617495275914
132443571,0.12474,134.108429,2.228052,11.506345873199999
40646158,0.10173,34.317071,-6.066261,11.232854069967287
116082849,0.14403,213.8349762,0.8941020000000001,11.414215873199996
78564447,0.1038,216.427475,-0.7983979999999999,10.675715873199998
1237674461489528876,0.26695,140.68648000000002,3.706786,11.498453827836785
1237678619019379506,0.35368,339.24495,2.446957,11.579510869050866
1237648721232199712,0.1252,183.36179,-0.156397,9.636577376018977
86845936,0.13806,213.734726,-0.359082,11.048865873199999
104130762,0.19436,131.8584747,0.347219,11.443775873199996
1237650796214682009,0.22312,133.9306793,0.113153,11.483330606642994
93392761,0.057579999999999985,333.7913200000001,-0.08230599999999999,10.028095873199998
1237678595930849611,0.31005,332.23907,1.117171,11.542599318665452
70169061,0.10044,335.50456,-1.167889,11.7803658732
1237671127515005615,0.4419300000000001,176.88482,-0.555597,11.773531842743974
74277699,0.1062,177.8348541,-0.974118,11.475225873199998
78871548,0.21946,218.0684662,-0.6723979999999999,11.728090777352918
113417220,0.11052,132.00794979999998,0.693362,10.989405873199999
112128322,0.0675,334.5680200000001,0.63569,9.7828678732
1237679254132293727,0.13365,29.145705,-4.650756,11.449842629313936
43131407,0.24939,34.479814000000005,-5.4480660000000025,11.730382699926851
1237655465396404240,0.35358,245.74523,43.929489,11.441439517366236
123815053,0.0502,220.1555023,1.32204,9.8522678732
1237678618482573636,0.19632,339.49814,1.905598,11.558776446734555
95136856,0.12086,214.8387146,-0.205579,11.186905873199999
1237679321786941824,0.44528,33.533882,-5.592713,11.786059306381507
1237678889600352501,0.32368,38.803911,-1.9122740000000005,11.366074183330054
95168166,0.24341,216.7535553,-0.17463299999999998,11.429538373660762
1237678619018985815,0.21918,338.36426,2.26168,11.481034215830732
62006459,0.20724,218.4806061,-1.88808,11.412235873199997
125166168,0.29822,335.08571,1.376762,11.444506152751273
65364640,0.08245,177.3189545,-1.536409,10.294435873199998
1237678597008261408,0.44404,340.69438,2.10735,11.567261137999596
1237678596467392793,0.09011,331.47666,1.65788,11.065951293567196
1237679339496997272,0.28567,39.413742,-6.753589999999999,11.647145397437267
1237661386001940659,0.26198,235.58024,43.7576,11.335989441926358
1237678596467917239,0.21275,332.75991,1.542189,11.652073793928142
126477554,0.28349,217.5165558,1.566901,11.756645873199997
1237678879962431599,0.17445,35.57615900000001,-2.733835,11.378012363871678
86143224,0.13616,216.9206238,-0.472538,11.429025873199999
1237679998229742548,0.36374,330.69672,-1.5473709999999998,11.709694055025466
1237654601021260290,0.20075,137.92133,3.129021,11.333189828728793
134246925,0.13209,135.767746,2.6040490000000003,10.679525873199998
75345536,0.15103,334.30594,-0.976814,11.2271058732
1237678598078988861,0.44182,333.67409,2.867711,11.759343011726742
